date,page_path,sessions,conversions,engagement_rate,avg_session_duration
2024-11-01,/product/shoes,380,45,0.82,180
2024-11-02,/product/shoes,382,46,0.83,182
2024-11-03,/product/shoes,385,47,0.83,181
2024-11-04,/product/shoes,390,48,0.84,183
2024-11-05,/product/shoes,392,48,0.84,184
2024-11-06,/product/shoes,395,49,0.85,185
2024-11-07,/product/shoes,394,49,0.85,184
2024-11-08,/product/shoes,280,28,0.72,155
2024-11-09,/product/shoes,275,27,0.71,152
2024-11-10,/product/shoes,278,28,0.72,154
2024-11-11,/product/shoes,272,27,0.70,150
2024-11-12,/product/shoes,276,27,0.71,153
2024-11-13,/product/shoes,279,28,0.72,155
2024-11-14,/product/shoes,274,27,0.71,151
2024-11-01,/blog/seo-guide,95,3,0.65,120
2024-11-02,/blog/seo-guide,98,3,0.66,122
2024-11-03,/blog/seo-guide,100,4,0.67,123
2024-11-04,/blog/seo-guide,102,4,0.68,125
2024-11-05,/blog/seo-guide,96,3,0.66,121
2024-11-06,/blog/seo-guide,99,3,0.67,122
2024-11-07,/blog/seo-guide,101,4,0.67,124
2024-11-08,/blog/seo-guide,165,7,0.58,110
2024-11-09,/blog/seo-guide,168,7,0.59,112
2024-11-10,/blog/seo-guide,172,8,0.60,113
2024-11-11,/blog/seo-guide,170,8,0.59,112
2024-11-12,/blog/seo-guide,175,8,0.61,114
2024-11-13,/blog/seo-guide,177,9,0.62,115
2024-11-14,/blog/seo-guide,173,8,0.60,113
2024-11-01,/contact,65,12,0.88,95
2024-11-02,/contact,67,13,0.89,96
2024-11-03,/contact,70,14,0.90,98
2024-11-04,/contact,68,13,0.89,97
2024-11-05,/contact,69,13,0.89,97
2024-11-06,/contact,71,14,0.90,99
2024-11-07,/contact,70,14,0.90,98
2024-11-08,/contact,69,13,0.89,97
2024-11-09,/contact,71,14,0.90,99
2024-11-10,/contact,73,15,0.91,100
2024-11-11,/contact,72,14,0.90,99
2024-11-12,/contact,74,15,0.91,101
2024-11-13,/contact,75,16,0.92,102
2024-11-14,/contact,73,15,0.91,100
