date,page_path,clicks,impressions,ctr,position
2024-11-01,/product/shoes,450,12000,0.0375,8.5
2024-11-02,/product/shoes,448,11800,0.0380,8.6
2024-11-03,/product/shoes,455,12100,0.0376,8.4
2024-11-04,/product/shoes,460,12200,0.0377,8.3
2024-11-05,/product/shoes,465,12300,0.0378,8.2
2024-11-06,/product/shoes,470,12400,0.0379,8.1
2024-11-07,/product/shoes,468,12350,0.0379,8.2
2024-11-08,/product/shoes,350,12500,0.0280,12.5
2024-11-09,/product/shoes,340,12450,0.0273,12.8
2024-11-10,/product/shoes,345,12480,0.0276,12.7
2024-11-11,/product/shoes,338,12430,0.0272,12.9
2024-11-12,/product/shoes,342,12460,0.0274,12.8
2024-11-13,/product/shoes,344,12470,0.0276,12.6
2024-11-14,/product/shoes,341,12440,0.0274,12.8
2024-11-01,/blog/seo-guide,120,8000,0.0150,15.2
2024-11-02,/blog/seo-guide,125,8200,0.0152,15.0
2024-11-03,/blog/seo-guide,128,8300,0.0154,14.8
2024-11-04,/blog/seo-guide,130,8400,0.0155,14.7
2024-11-05,/blog/seo-guide,122,8100,0.0151,15.1
2024-11-06,/blog/seo-guide,126,8250,0.0153,14.9
2024-11-07,/blog/seo-guide,129,8350,0.0154,14.8
2024-11-08,/blog/seo-guide,195,18000,0.0108,18.5
2024-11-09,/blog/seo-guide,198,18200,0.0109,18.3
2024-11-10,/blog/seo-guide,202,18400,0.0110,18.1
2024-11-11,/blog/seo-guide,200,18300,0.0109,18.2
2024-11-12,/blog/seo-guide,205,18500,0.0111,18.0
2024-11-13,/blog/seo-guide,207,18600,0.0111,17.9
2024-11-14,/blog/seo-guide,203,18450,0.0110,18.1
2024-11-01,/contact,80,2000,0.0400,5.2
2024-11-02,/contact,82,2050,0.0400,5.1
2024-11-03,/contact,85,2100,0.0405,5.0
2024-11-04,/contact,83,2075,0.0400,5.1
2024-11-05,/contact,84,2090,0.0402,5.0
2024-11-06,/contact,86,2110,0.0408,4.9
2024-11-07,/contact,85,2105,0.0404,5.0
2024-11-08,/contact,84,2095,0.0401,5.0
2024-11-09,/contact,86,2115,0.0407,4.9
2024-11-10,/contact,88,2125,0.0414,4.8
2024-11-11,/contact,87,2120,0.0410,4.9
2024-11-12,/contact,89,2130,0.0418,4.8
2024-11-13,/contact,90,2140,0.0421,4.7
2024-11-14,/contact,88,2125,0.0414,4.8
